,name,CAS,smiles,Incineration,Recycling,Bio-treatment,VOC emissions,Environment - water,Environment - air,Health,Exposure,Flamability,Stability,waste_score,environment_score,health_score,safety_score,total_score
69,"2,2,2-Trifluoroethanol",75-89-8,OCC(F)(F)F,1,5,2,4,5,4,1,1,6,9,2.514866859365871,4.47213595499958,1.0,7.3484692283495345,3.0151347002979265
70,Dimethyl isosorbide,5306-85-4,CO[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC,4,4,5,10,9,6,4,9,9,8,5.3182958969449885,7.3484692283495345,6.0,8.48528137423857,6.678773553948795
71,Fluorobenzene,462-06-6,Fc1ccccc1,4,7,5,4,3,4,4,3,4,10,4.864598558195574,3.4641016151377544,3.4641016151377544,6.324555320336759,4.383434910539694
72,Ethylene carbonate,96-49-1,O=C1OCCO1,3,5,5,10,10,10,7,10,10,9,5.233175696960528,10.0,8.366600265340756,9.486832980505138,8.028028353099787
73,2-Methyl-2-butanol,75-85-4,CCC(C)(C)O,6,3,4,7,9,5,7,6,8,10,4.738137220537587,6.708203932499369,6.48074069840786,8.94427190999916,6.551577495091646
74,3-Pentanone,96-22-0,CCC(=O)CC,7,3,5,6,10,4,10,7,7,9,5.009970139234591,6.324555320336759,8.366600265340756,7.937253933193772,6.772844536361851
75,Isoamyl acetate,123-92-2,CC(=O)OCCC(C)C,9,9,8,8,4,6,7,8,8,10,8.48528137423857,4.898979485566356,7.483314773547883,8.94427190999916,7.2627771580378955
76,Isooctane,540-84-1,CC(C)CC(C)(C)C,10,4,5,6,2,5,10,7,3,10,5.885661912765424,3.1622776601683795,8.366600265340756,5.477225575051661,5.404135624410503
77,Isobutyl acetate,110-19-0,CC(=O)OCC(C)C,7,9,8,6,9,6,10,6,8,10,7.415585502134682,7.3484692283495345,7.745966692414834,8.94427190999916,7.838640306386883
78,1-Octanol,111-87-5,CCCCCCCCO,9,7,8,10,5,4,7,10,9,10,8.425731861221042,4.47213595499958,8.366600265340756,9.486832980505138,7.395171101170561
79,Benzyl alcohol,100-51-6,OCc1ccccc1,7,6,6,10,8,6,7,9,10,8,7.0851677179897825,6.928203230275509,7.937253933193772,8.94427190999916,7.683277260599761
80,Tri(ethylene glycol),112-27-6,OCCOCCOCCO,4,5,5,10,9,6,10,10,10,9,5.62341325190349,7.3484692283495345,10.0,9.486832980505138,7.912788062388753
81,Diethylene glycol monobutyl ether,112-34-5,CCCCOCCOCCO,4,4,4,10,9,8,7,10,9,6,5.029733718731741,8.48528137423857,8.366600265340756,7.3484692283495345,7.157136257832994
82,Acetic anhydride,108-24-7,CC(=O)OC(C)=O,4,6,4,8,8,7,4,4,8,6,5.26429605180997,7.483314773547883,4.0,6.928203230275509,5.748158463567324
83,Formic acid ,64-18-6,O=CO,5,4,8,6,8,8,4,4,7,7,5.566315367427482,8.0,4.0,7.0,5.942291558526318
84,Methyl formate,107-31-3,COC=O,3,7,3,1,9,9,7,4,3,9,2.8173132472612576,9.0,5.291502622129181,5.196152422706632,5.138479593376611
85,Chloroacetic acid,79-11-8,O=C(O)CCl,1,4,4,9,6,4,1,5,10,6,3.464101615137755,4.898979485566356,2.23606797749979,7.745966692414834,4.140608962241279
